renderer,state,digest,route,lod,camera_scale,developed_width_share,developed_height_share,public_realm_width_share,public_realm_height_share,priority_width_share,priority_height_share,nodes,drawables,actions
after-4a6914a,commercial-upgraded-district-v2,e685f45785a4a9df92881bf1f94597f002f568cfecd6efaf6bd7bd1df4ff18fd,regular,city,0.449550450,0.650000,1.436508,1.235000,1.419328,0.520000,0.798628,1717,786,0
after-4a6914a,commercial-upgraded-district-v2,e685f45785a4a9df92881bf1f94597f002f568cfecd6efaf6bd7bd1df4ff18fd,regular,neighborhood,0.422359467,0.691846,1.528989,1.314508,1.510703,0.553477,0.850042,1736,800,0
after-4a6914a,commercial-upgraded-district-v2,e685f45785a4a9df92881bf1f94597f002f568cfecd6efaf6bd7bd1df4ff18fd,regular,block,0.367977470,0.794092,1.754952,1.508774,1.733964,0.635273,0.975667,1736,800,0
after-4a6914a,commercial-upgraded-district-v2,e685f45785a4a9df92881bf1f94597f002f568cfecd6efaf6bd7bd1df4ff18fd,compact,city,0.642512918,0.650000,2.383752,1.235000,2.355243,0.520000,1.325248,1687,756,0
after-4a6914a,commercial-upgraded-district-v2,e685f45785a4a9df92881bf1f94597f002f568cfecd6efaf6bd7bd1df4ff18fd,compact,neighborhood,0.580237865,0.719762,2.639592,1.367549,2.608024,0.575810,1.467483,1706,770,0
after-4a6914a,commercial-upgraded-district-v2,e685f45785a4a9df92881bf1f94597f002f568cfecd6efaf6bd7bd1df4ff18fd,compact,block,0.455687702,0.916490,3.361055,1.741332,3.320858,0.733192,1.868580,1706,770,0
after-4a6914a,commercial-terminal-district-v2,2c703b45e171e2fb3334098c253503d11282975be0424760cad0005a6c1466c1,regular,city,0.449550450,0.650000,1.436508,1.235000,1.419328,0.520000,0.798628,1727,793,0
after-4a6914a,commercial-terminal-district-v2,2c703b45e171e2fb3334098c253503d11282975be0424760cad0005a6c1466c1,regular,neighborhood,0.422359467,0.691846,1.528989,1.314508,1.510703,0.553477,0.850042,1746,807,0
after-4a6914a,commercial-terminal-district-v2,2c703b45e171e2fb3334098c253503d11282975be0424760cad0005a6c1466c1,regular,block,0.367977470,0.794092,1.754952,1.508774,1.733964,0.635273,0.975667,1746,807,0
after-4a6914a,commercial-terminal-district-v2,2c703b45e171e2fb3334098c253503d11282975be0424760cad0005a6c1466c1,compact,city,0.642512918,0.650000,2.383752,1.235000,2.355243,0.520000,1.325248,1697,763,0
after-4a6914a,commercial-terminal-district-v2,2c703b45e171e2fb3334098c253503d11282975be0424760cad0005a6c1466c1,compact,neighborhood,0.580237865,0.719762,2.639592,1.367549,2.608024,0.575810,1.467483,1716,777,0
after-4a6914a,commercial-terminal-district-v2,2c703b45e171e2fb3334098c253503d11282975be0424760cad0005a6c1466c1,compact,block,0.455687702,0.916490,3.361055,1.741332,3.320858,0.733192,1.868580,1716,777,0
after-4a6914a,industrial-pressured-district-v2,aead13d649a772d05b3a81b185e3b5a71531a4ae6d9f223b7edf75fd4dd355f3,regular,city,0.449550450,0.650000,1.390615,1.235000,1.419328,0.520000,0.798628,1769,829,0
after-4a6914a,industrial-pressured-district-v2,aead13d649a772d05b3a81b185e3b5a71531a4ae6d9f223b7edf75fd4dd355f3,regular,neighborhood,0.422359467,0.691846,1.480141,1.314508,1.510703,0.553477,0.850042,1788,843,0
after-4a6914a,industrial-pressured-district-v2,aead13d649a772d05b3a81b185e3b5a71531a4ae6d9f223b7edf75fd4dd355f3,regular,block,0.367977470,0.794092,1.698885,1.508774,1.733964,0.635273,0.975667,1788,843,0
after-4a6914a,industrial-pressured-district-v2,aead13d649a772d05b3a81b185e3b5a71531a4ae6d9f223b7edf75fd4dd355f3,compact,city,0.642512918,0.650000,2.307596,1.235000,2.355243,0.520000,1.325248,1739,799,0
